pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Los paquetes SCORM están comprimidos en un ZIP que suele contener:;El manifiesto o archivo XML de estructura y metadatos;Recursos pdf, doc, AVI, PPT, etc.;Esquema XML;Toda son correctas;4
Herramientas en las que podemos crear nuestros diseños 3D:;Thingiverse;Sketchup;Grabcad;Todas son correctas;2
Son programas grabados en formato MP3 y compartidos en las plataformas digitales, como piezas de audio descargables acerca de un tema:;Audiolibro;Ninguno;Podcast;Radio educativa;3
El diseño instruccional es la acción de trasladar una secuencia de aprendizaje a un entorno digital:;Verdadero;Falso;Ambas;Ninguna;1
Una IA específica es aquella que NO está diseñada para realizar tareas específicas, como:;El reconocimiento de voz;El análisis de imágenes;El análisis del juego de ajedrez;Ninguna de las respuestas es correcta;4
CC BY permite distribuir, remezclar, adaptar y construir sobre el material en cualquier medio o formato, siempre que... ;Se atribuya la autoría al creador;No se distribuyan modificaciones de la obra original;No se utilice con fines comerciales;La obra derivada se comparta con la misma licencia;1
Se trata de un espacio en el que los alumnos pueden aprender haciendo, se desarrollan las competencias STEM y se usan metodologías activas:;FabLab;MakerSpace;Impresoras 3D;Todas son correctas;2
Plataforma en la que podremos crear realidad virtual y gestionar clases:;CoSpaces;Thingiverse;Asemblr;Merge Cube;1
Algunos formatos de audio son...;MP3;MP4;WAV;Todas son correctas;4
Las imágenes contribuyen a:;Profundización de conocimientos;Estimular imaginación;Comprensión de conceptos;Todas son correctas;4
El breakout es...;Juegos Serios;Gamificación;Simulación;Ninguna;2
¿Qué tipos de recompensas se utilizan en la gamificación?;Logros;Premios;Tablas de clasificación;Todas son correctas;4
Cuando aplicas Flipped Classroom ¿Qué niveles de la taxonomía de Bloom se trabajan en casa?;Crear;Recordar;Comprender;Aplicar;2
¿Dónde puedo encontrar proyectos 3D listos para imprimir?;Grabcad;Thingiverse;Todas son correctas;Ninguna;3
Uno de los desafíos éticos que presentan las IAs es:;Diversidad de los datos de entrenamiento;Transparencia;Alfabetización digital;Todas son correctas;4
En qué fase de innovación educativa se examinan herramientas, metodologías, estrategias, etc.;Planificación;Implementación;Evaluación;Análisis;4
Implica tres fases: Planificación, Producción y Emisión, nos referimos a...;Ninguno;Audiolibro;Podcast;Radio educativa;4
Parte la impresora 3D por donde sale el filamento fundido para crear el objeto.;Extrusor;Ventilador;Servomotor;Sensor de crash;1
Para la impresión 3D usa:;Madera;Filamentos;Todas son correctas;Resina;3
¿Qué debemos tener en cuenta a la hora de introducir una gamificación?;Objetivos;Tiempos;Motivación del alumno;Todas son correctas;4
