pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Para Juul, las reglas deben quedar definidas y claras...;Siempre;En ocasiones;Nunca;;1
"El concepto ""conflicto"" se refiere a:";Disputa entre fuerzas;Peleas;Motivación extrínseca;;1
Según Huizinga, el juego:;No es serio;No absorbe por completo;No sigue un orden;;1
Según Caillois, jugar es:;No sigue reglas;No es libre;Libre;;3
Suits dice que jugar es un intento voluntario de superar obstáculos;Aleatorios;Innecesarios;Necesarios;;3
Salen & Zimmerman diferencian claramente entre:;Game y play;Adventure y play;Game y gamificación;;1
Para Huizinga, hay 2 componentes clave en el juego:;Pacto variable y círculo extrínseco;Pacto entre iguales y valoración;Pacto lúdico y círculo mágico;;3
Elemento propio del juego según Jesper Juul:;Motivación del jugador;Tenacidad;Esfuerzo del jugador;;3
El juego improductivo significa que:;Crea riqueza;No crea elementos nuevos;Crea bienes;;2
Los juegos según Caillois son: Agon, Alea, Mimicry e...;Mimonix;Ilinx;Jeux;;2
