pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿La tecnología móvil como toda comunicación se compone de?;Un receptor de señal a través del cual se puede enviar o recibir un mensaje de voz como de datos.;Un receptor y de un transmisor de señal a través del cual se puede enviar o recibir tanto mensaje de voz como de datos.;Un transmisor de señal a través del cual se puede enviar o recibir tanto mensaje de voz como de datos.;Ninguna de las anteriores es cierta;2
Señala la afirmación verdadera:;Los primeros teléfonos móviles eran walkie talkie de largo alcance.;El sueño de Alan Kay era que los niños llevasen a las escuelas tablets.;Los móviles de 2G permitían enviar mensajes de voz, mensajes de texto -SMS- e Internet a gran velocidad;El ingeniero Alan kay fue el primero en fabricar una tablet;2
¿Qué podríamos considerar como falso cuando se habla de la tecnología ubicua?;La tecnología ubicua es aquella tecnología que está en todas partes y somos conscientes de cómo funciona, aunque no siempre se hace uso de ella.;El objetivo fundamental de la computación ubicua consiste en la integración de dispositivos tecnológicos anulando la diferenciación entre el dispositivo y el ser humano, permitiendo una integración absoluta;El poder de la tecnología ubicua es inmenso, pero principalmente, ayuda a tener una vida más cómoda produciéndose una transformación en las relaciones sociales y comunicativas;Mark Weiser (Weiser,1991) fue el primero en utilizar el concepto de ubiquitous technology o tecnología ubicua.;1
Los factores que intervienen en el desarrollo de la tecnología ubicua son Identificación, Localización, Detección y elija el correcto:;Instalación;Información;Configuración;Conexión;4
¿Cuál no sería una característica a tener en cuenta para la clasificación de generaciones móviles?;La velocidad de transmisión;El protocolo;El acceso o no a Internet.;El mandar SMS;4
¿Cuál de estas sentencias es falsa?;Actualmente el desarrollo de las nuevas tecnologías es exponencial, la presencia del móvil es cada vez más grande, llegando en algunos países a sobrepasar el número de móviles al de personas;La 5ª generación de ordenadores tendrá un tiempo de latencia de alrededor de 2 segundos;La tablet es uno de los juguetes favoritos de los niños;Uno de los hitos más importantes en los años de la 3ª generación fue la aparición del iPhone;2
¿Cuál no sería una ventaja del uso de tablets en educación?;Los padres pueden dirigir el aprendizaje de sus hijos.;Los alumnos mejoran su competencia digital, imprescindible en la sociedad actual.;Para introducir las tablets en el aula el profesor debe tener formación digital;Los profesores que las utilizan en sus clases consiguen una interacción mayor con sus alumnos.;3
¿Cuál sería la afirmación correcta respecto al tamaño de celdas y densidad de población?;En un determinado espacio a menor tamaño de las células menor será el número de canales;En un determinado espacio mayor tamaño de las células mayor será el número de canales;En las zonas rurales donde la densidad de población es menor, el tamaño de las celdas será mucho mayor;En las zonas rurales donde la densidad de población es menor, el tamaño de las celdas será mucho menor;3
¿Qué no son los Chatbots?;Los chatbots son programas informáticos que tienen la habilidad de interactuar con personas utilizando interfaces basadas en el lenguaje.;Los chatbots es un simulador de una conversación humana inteligente de modo que, en general, el interlocutor tenga una experiencia lo más parecida posible a la conversación con otra persona;Los chatbots son una clase especial de bot.;Los chatbots son elementos muy complejos de desarrollar, pues no existen aplicaciones para su programación.;4
¿A qué se refiere context awareness según Hindi (2015)?;Es un tipo de chatbot que recopilará información y evitará las notificaciones;Es la propiedad que tienen los dispositivos de un sistema para recopilar información sobre su entorno en un momento dado.;Es un chip que desconectará las notificaciones que decida el usuario;Es la propiedad que tienen los dispositivos de un sistema para borrar la información sobre su entorno en un momento dado;2
