pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué dimensión de la narrativa estudia la composición de planos?;La semántica narrativa;La morfología narrativa;La pragmática narrativa;La sintaxis narrativa;4
¿Qué es la narratología?;La ciencia que estudia a los narradores;Ninguna de las respuestas es correcta;La ciencia que estudia los textos narrativos;La ciencia que estudia la mitología;3
¿Qué tipo de plano ocupa desde los pies hasta la cabeza de un personaje?;Primer plano;Plano entero;Plano general;Plano medio;2
¿Por qué se caracteriza un narrador fílmico?;Por ser conciso;Por ser impersonal;Por ser objetivo;Por ser subjetivo;2
¿Qué es el espacio narrativo?;La composición de planos;El lugar donde se desarrolla la historia;La representación icono-textual del relato;Ni lo sé ni me importa;2
¿Por qué se caracteriza el relato analógico?;Bajo coste;Procesamiento eficaz;Linealidad;Recortes autodirigidos;3
¿Qué es la mediamorfosis?;Una técnica educativa basado en narrativa digital;Una fase analógica de los medios de comunicación;Un modelo de narrativa digital;El cambio de los medios de comunicación debido a la inclusión de las TIC;4
¿Qué aportan los nuevos medios frente a los medios análogos?;Digitalización;Convergencia mediática;Todas las respuestas son correctas;Adaptación de los roles de publicación;3
Los componentes del tiempo narrativo pueden dividirse en:;Orden, duración y frecuencia.;Orden, ritmo y secuencia.;Orden, estética y armonía.;Orden, acronía y cronología;1
¿Qué es la hiperficción constructiva?;Ninguna de las respuestas es correcta;El lector es un usuario pasivo;Conformada por un solo autor;El lector puede modificar la historia;4
Son aquellos que han tenido que adaptarse a las nuevas herramientas digitales...;Prosumiadores;Infornívoros;Nativos digitales;Inmigrantes digitales;4
¿Cuál es la estructura del Paradigma del ciclo heroico acuñada por Campbell?;Planteamiento, nudo y desenlace;Separación, iniciación y retorno;Retorno, confrontación y destino;Descubrimiento, conflicto y clímax;2
¿Qué fenómeno ha provocado una modificación de la interacción televisiva?;Los medios de comunicación nativos;Los nuevos formatos en la web;Los nuevos productos televisivos digitales;Las segundas pantallas o multipantallas;4
Proyecto multiplataforma con varias historias, contadas en distintos soportes que nos ofrecen los medios digitales;Multiplataforma;Crossmedia;Storytelling;Transmedia;4
El fenómeno fan se caracteriza por:;Intercambiar, formular y crear nuevas historias y recibiendo feedback;La satisfacción personal de crear un producto basado en lo narrativo;Crear parodias, finales alternativos, adaptaciones, etc.;Todas las respuestas son correctas;4
¿Cuál es la fórmula de la narrativa transmedia?;CPU + NS;Ninguna de las respuestas es correcta;IM + CPU;NS + XP;3
¿En qué consiste la definición de mecanismos y motivación en un proyecto transmedia?;Seleccionar el mensaje de la historia;Crear el mundo de la historia;Señalar el público objetivo;Aprendizaje por descubrimiento e investigación;4
¿En qué dimensión del digital storytelling determinamos la selección y planificación de la temática de nuestro relato?;Creativa;Digital;Didáctica;Narrativa;4
¿Qué es la biblia transmedia?;Un libro ético;Un libro que recoge ejemplos de proyectos transmedia;Un documento que recoge los tipos de planos;Un documento que recoge los elementos que conforman un producto;4
¿Qué técnica sirve para documentar y compartir una experiencia significativa de su vida a través de una historia?;Audiovisión;Storyboard;Eventos históricos;Relato digital personal-educativo;4
¿Qué es el Storyboard?;Guión gráfico;Relato histórico;Relato personal;Videojuego;1
¿Qué podemos hacer con la herramienta tome.ai?;Escribir un relato histórico personal;Aprender a usar la inteligencia artificial;Crear presentaciones a partir de una frase;Diseñar imágenes para Canva;3
¿Qué es Stable Diffusion?;Un buscador de imágenes;Un lenguaje de inteligencia artificial que genera imágenes realistas;Un editor de imágenes;Una descripción de imágenes;2
"¿Qué es el ""prompt negativo""?";El uso de una lengua diferente al inglés en la descripción que uso;Lo que no me gusta de una imagen generada con la IA;Las diferentes imágenes que se generan automáticamente;Las palabras clave que hacen parte de lo que no quieres en una imagen;4
¿Qué herramienta no funciona con IA?;Genially;ChatGPT;Dalle2;Humata;1
